period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
01-07-2014,31-07-2014,30,national,11,1400,f, National,National,U.S.,US,Townhouse,13,212404,-0.002517238,0.048907602,217854,0.02138728,0.112475861,133,-0.016887912,0.044188185,137,0.011479961,0.072565821,42562,-0.040370761,-0.037497726,47787,-0.09614372,-0.059371535,54974,0.001020328,0.068761648,147831,0.053834426,0.081850305,3.473252803,0.310483719,0.383163809,39,0,-4,0.98057387,-0.000573121,-0.004995681,0.214362904,-0.007366014,-0.054731244,0.097723538,-0.001730763,0.035458584,0.212184239,-0.016464111,0.021767401,,,16-12-2024 14:09
01-12-2023,31-12-2023,30,national,11,1400,t, National,National,U.S.,US,Condo/Co-op,3,346343.619,-0.009239861,0.0663425,362608.4766,0.008109966,0.070531614,305.1400704,-0.012590988,0.073381401,330.4899122,0.033417992,0.092068682,43224.02502,-0.012577466,-0.01522345,52681.87713,0.016661904,-0.011840645,61221.26491,-0.044199511,0.122917128,144609.0823,0.033609094,0.125595012,3.401561321,-0.024069838,0.501519165,36.77749559,1,-1,0.987978828,-0.00182217,0.002382853,0.277719567,-0.010657844,0.032103135,0.133436274,-0.003203801,0.002981854,0.412898475,-0.007940587,0.008540726,,,16-12-2024 00:00
01-12-2013,31-12-2013,30,national,11,1400,t, National,National,U.S.,US,Single Units Only,-2,211881.8337,0.008448466,0.094390373,222181.3211,5.41E-05,0.096415236,115.4883557,0.002940761,0.088548103,119.9929677,0.001803282,0.097327954,423861.8345,0.001396961,0.024107799,516590.1416,0.011801615,0.033854368,547017.1932,-0.027819316,0.042520781,1829664.337,-0.000721383,0.020127574,4.540106358,0.040434379,0.053177608,61.46729324,0,-8,0.976481663,0.000251089,0.001402014,0.215521492,-0.001827564,-0.01851667,0.114783503,0.041962787,0.049419035,0.161068413,-0.018850835,-0.014414958,,,16-12-2024 00:00
01-09-2013,30-09-2013,30,national,11,1400,t, National,National,U.S.,US,All Residential,-1,209608.915,0.001202887,0.121981951,219619.8699,0.006400959,0.115497516,114.4730328,0.001210806,0.11486892,118.9329527,0.002316502,0.109802345,445764.5425,-0.01983318,0.082019263,524015.3255,-0.006917962,0.087806309,560073.5875,-0.012313725,0.147746568,1872050.033,0.004564017,-0.004141809,4.256122863,0.174349955,-0.383123545,61.59568194,0,-14,0.975672614,-0.000413025,0.006004279,0.223285198,-0.003295691,0.013873897,0.060047935,0.004311898,0.009558529,0.176563123,0.000865309,0.020974095,,,16-12-2024 00:00
01-02-2021,28-02-2021,30,national,11,1400,t, National,National,U.S.,US,Single Family Residential,6,363863.2204,0.009383691,0.16674744,370524.6455,0.013176631,0.135762479,182.7542465,0.007385987,0.161415785,187.4030629,0.014838715,0.151537662,435842.075,-0.145330552,0.024863267,494106.6552,-0.063929304,-0.075180534,439690.7389,-0.071024712,-0.145064704,629659.0361,-0.066099252,-0.436012216,1.46786844,0.176239135,-1.268147962,20.2720115,-1,-24,1.005364219,0.001331963,0.019309779,0.443248579,0.002392984,0.19015569,0.092654584,-0.007054621,-0.046099091,0.549191866,-0.017745482,0.16793577,,,16-12-2024 00:00
01-06-2023,30-06-2023,30,national,11,1400,t, National,National,U.S.,US,Condo/Co-op,3,338952.8336,0.015831299,0.007122703,355906.4718,0.001050811,0.025787319,301.8303479,0.012894574,-0.009418414,313.4570896,-0.007487913,0.006886929,45784.97969,0.000419257,-0.186684871,53008.13279,0.025191127,-0.123083461,55839.24386,0.023582197,-0.2176482,114588.563,-0.01110059,-0.065686862,2.530892484,-0.090649381,0.256984049,38.81809246,0,8,0.990829783,0.002112129,-0.016552695,0.282479319,0.008440747,-0.11390425,0.121414444,0.001722306,0.000900082,0.429320694,0.005153161,-0.054350409,,,16-12-2024 00:00
01-03-2021,31-03-2021,30,national,11,1400,t, National,National,U.S.,US,Single Units Only,-2,353151.8228,0.014795237,0.164522375,360260.2088,0.007954956,0.15889238,192.053824,0.012442736,0.179192054,195.9555973,-1.00E-05,0.186338896,574506.8687,0.003142685,0.103067661,643794.826,0.005944202,0.189070687,609601.8024,0.061591735,0.031660215,800677.1944,-0.060044623,-0.429869157,1.38211493,-0.034583042,-1.491504583,23.93867009,-1,-16,1.006201759,0.003217896,0.020275886,0.425147895,0.009187111,0.168529397,0.091265437,-0.001628862,-0.038536828,0.545786847,0.012203734,0.142806592,,,16-12-2024 00:00
01-11-2023,30-11-2023,30,national,11,1400,t, National,National,U.S.,US,All Residential,-1,415405.0609,0.000351391,0.034335608,428065.6845,0.005888572,0.036418814,229.2053783,-0.000682695,0.040717965,236.1740866,0.001936434,0.044831585,411814.0073,0.000804539,-0.041002222,468134.057,0.012381982,-0.008142525,551571.7901,0.059630748,0.072117283,1095651.981,0.063525413,-0.049508405,2.755152425,0.1403748,-0.00250913,35.60680902,1,-1,0.994566968,-0.001521593,0.004860864,0.320888438,-0.012925175,0.026919005,0.166499278,0.009000372,-0.009759207,0.419416388,-0.022664544,0.026734394,,,16-12-2024 00:00
01-05-2013,31-05-2013,30,national,11,1400,f, National,National,U.S.,US,Multi-Family (2-4 Unit),4,191003,0.068063409,0.184206507,211954,0.013798037,0.199438063,90,0.068472954,0.148374636,96,0.006792063,0.173558349,10320,0.114715754,0.116993925,12811,0.067004313,0.092859566,16327,0.010011934,0.083076037,53172,0.038873265,-0.120005878,5.152295157,-0.376141061,-1.387614876,58,-8,-12,0.965729844,0.008904211,0.015159277,0.278263282,0.021586178,0.052032946,0.048702274,0.001017845,-0.008170363,0.221071586,-0.015285326,0.033343795,,,16-12-2024 14:09
01-03-2012,31-03-2012,30,national,11,1400,f, National,National,U.S.,US,Townhouse,13,156377,0.040395845,-0.002101551,179118,0.052853037,0.034040651,103,0.03298196,-0.008566088,116,0.036310833,0.015308101,31932,0.269997638,0.039578103,42743,0.24186348,0.070514104,50903,0.204967692,-0.093374665,157419,0.01046693,-0.233821407,4.929770736,-1.266173937,-1.759115847,84,-6,-17,0.96556882,0.002355786,0.00657928,0.18458567,0.012773026,0.022413215,0.065152858,0.002057777,-0.021564466,0.15008804,0.017079044,0.045971806,,,16-12-2024 14:09
